File Path,filename,name,height,width,xmin,ymin,xmax,ymax
PASCAL VOC with XML Files\Cat\Annotations\009c4776-hss.xml,009c4776-hss.png,Cat,720,720,97,74,682,681
PASCAL VOC with XML Files\Cat\Annotations\0209cf2a-142.xml,0209cf2a-142.png,Cat,720,720,0,0,718,693
PASCAL VOC with XML Files\Cat\Annotations\02531dbd-15.xml,02531dbd-15.png,Cat,720,720,0,6,708,719
PASCAL VOC with XML Files\Cat\Annotations\0508f5c4-17.xml,0508f5c4-17.png,Cat,720,720,0,18,720,719
PASCAL VOC with XML Files\Cat\Annotations\0a07b418-98.xml,0a07b418-98.png,Cat,720,720,0,52,719,664
PASCAL VOC with XML Files\Cat\Annotations\0a4d353c-184.xml,0a4d353c-184.png,Cat,720,720,0,45,697,653
PASCAL VOC with XML Files\Cat\Annotations\0c4ead3c-8.xml,0c4ead3c-8.png,Cat,720,720,63,49,719,711
PASCAL VOC with XML Files\Cat\Annotations\0e0b233b-167.xml,0e0b233b-167.png,Cat,720,720,0,43,719,719
PASCAL VOC with XML Files\Cat\Annotations\116ab77b-149.xml,116ab77b-149.png,Cat,720,720,5,20,586,648
PASCAL VOC with XML Files\Cat\Annotations\11e17afd-104.xml,11e17afd-104.png,Cat,720,720,178,1,547,659
PASCAL VOC with XML Files\Cat\Annotations\12e2fd60-360.xml,12e2fd60-360.png,Cat,720,720,44,51,719,622
PASCAL VOC with XML Files\Cat\Annotations\13f29b99-27.xml,13f29b99-27.png,Cat,720,720,19,38,719,687
PASCAL VOC with XML Files\Cat\Annotations\1545e57d-193.xml,1545e57d-193.png,Cat,720,720,0,73,720,581
PASCAL VOC with XML Files\Cat\Annotations\17467b69-288.xml,17467b69-288.png,Cat,720,720,211,1,555,719
PASCAL VOC with XML Files\Cat\Annotations\189fa348-28.xml,189fa348-28.png,Cat,720,720,2,55,719,684
PASCAL VOC with XML Files\Cat\Annotations\193d72bd-48.xml,193d72bd-48.png,Cat,720,720,0,1,719,719
PASCAL VOC with XML Files\Cat\Annotations\195b11da-165.xml,195b11da-165.png,Cat,720,720,0,11,665,706
PASCAL VOC with XML Files\Cat\Annotations\1b3c63ed-234.xml,1b3c63ed-234.png,Cat,720,720,3,22,467,701
PASCAL VOC with XML Files\Cat\Annotations\1d12b087-373.xml,1d12b087-373.png,Cat,720,720,0,14,717,719
PASCAL VOC with XML Files\Cat\Annotations\1df736b5-143.xml,1df736b5-143.png,Cat,720,720,23,181,719,676
PASCAL VOC with XML Files\Cat\Annotations\1f21f75e-95.xml,1f21f75e-95.png,Cat,720,720,66,18,642,719
PASCAL VOC with XML Files\Cat\Annotations\1f34b046-185.xml,1f34b046-185.png,Cat,720,720,191,2,719,718
PASCAL VOC with XML Files\Cat\Annotations\1f67e16c-181.xml,1f67e16c-181.png,Cat,720,720,1,0,719,719
PASCAL VOC with XML Files\Cat\Annotations\20640f74-38.xml,20640f74-38.png,Cat,720,720,1,76,614,623
PASCAL VOC with XML Files\Cat\Annotations\20b60ddf-6.xml,20b60ddf-6.png,Cat,720,720,6,2,719,719
PASCAL VOC with XML Files\Cat\Annotations\224d3d29-211.xml,224d3d29-211.png,Cat,720,720,7,120,719,691
PASCAL VOC with XML Files\Cat\Annotations\22addf50-111.xml,22addf50-111.png,Cat,720,720,5,23,646,719
PASCAL VOC with XML Files\Cat\Annotations\23385a68-225.xml,23385a68-225.png,Cat,720,720,2,128,719,716
PASCAL VOC with XML Files\Cat\Annotations\24e32075-97.xml,24e32075-97.png,Cat,720,720,165,13,659,718
PASCAL VOC with XML Files\Cat\Annotations\2520b882-144.xml,2520b882-144.png,Cat,720,720,156,0,522,708
PASCAL VOC with XML Files\Cat\Annotations\264f1782-r7.xml,264f1782-r7.png,Cat,720,720,69,2,555,714
PASCAL VOC with XML Files\Cat\Annotations\288720a0-19.xml,288720a0-19.png,Cat,720,720,10,26,719,719
PASCAL VOC with XML Files\Cat\Annotations\2afa8703-140.xml,2afa8703-140.png,Cat,720,720,0,0,720,719
PASCAL VOC with XML Files\Cat\Annotations\2b78bddc-106.xml,2b78bddc-106.png,Cat,720,720,324,290,569,694
PASCAL VOC with XML Files\Cat\Annotations\2d5cfffc-dxftg.xml,2d5cfffc-dxftg.png,Cat,720,720,405,54,681,678
PASCAL VOC with XML Files\Cat\Annotations\2e130d5e-198.xml,2e130d5e-198.png,Cat,720,720,40,69,719,713
PASCAL VOC with XML Files\Cat\Annotations\2fb07430-172.xml,2fb07430-172.png,Cat,720,720,0,0,719,720
PASCAL VOC with XML Files\Cat\Annotations\3117108e-197.xml,3117108e-197.png,Cat,720,720,0,7,719,719
PASCAL VOC with XML Files\Cat\Annotations\3283f283-108.xml,3283f283-108.png,Cat,720,720,174,157,689,620
PASCAL VOC with XML Files\Cat\Annotations\32bf396c-32.xml,32bf396c-32.png,Cat,720,720,5,20,719,719
PASCAL VOC with XML Files\Cat\Annotations\3309a99a-362.xml,3309a99a-362.png,Cat,720,720,44,206,632,679
PASCAL VOC with XML Files\Cat\Annotations\3337af0b-293.xml,3337af0b-293.png,Cat,720,720,280,241,490,560
PASCAL VOC with XML Files\Cat\Annotations\33e3163c-64.xml,33e3163c-64.png,Cat,720,720,116,10,619,702
PASCAL VOC with XML Files\Cat\Annotations\347343ba-307.xml,347343ba-307.png,Cat,720,720,103,33,699,713
PASCAL VOC with XML Files\Cat\Annotations\3703c4ad-35.xml,3703c4ad-35.png,Cat,720,720,0,7,697,719
PASCAL VOC with XML Files\Cat\Annotations\381e3556-xcgvn.xml,381e3556-xcgvn.png,Cat,720,720,147,126,700,703
PASCAL VOC with XML Files\Cat\Annotations\3ae34ce4-374.xml,3ae34ce4-374.png,Cat,720,720,138,155,599,719
PASCAL VOC with XML Files\Cat\Annotations\3b1a1d26-174.xml,3b1a1d26-174.png,Cat,720,720,16,33,719,698
PASCAL VOC with XML Files\Cat\Annotations\3c2c0781-324.xml,3c2c0781-324.png,Cat,720,720,9,247,719,680
PASCAL VOC with XML Files\Cat\Annotations\3d094a0d-49.xml,3d094a0d-49.png,Cat,720,720,90,1,639,719
PASCAL VOC with XML Files\Cat\Annotations\3e84670c-145.xml,3e84670c-145.png,Cat,720,720,0,0,719,719
PASCAL VOC with XML Files\Cat\Annotations\3ee38d38-12.xml,3ee38d38-12.png,Cat,720,720,7,53,716,668
PASCAL VOC with XML Files\Cat\Annotations\41355d28-309.xml,41355d28-309.png,Cat,720,720,99,10,631,719
PASCAL VOC with XML Files\Cat\Annotations\438caa6f-230.xml,438caa6f-230.png,Cat,720,720,45,99,719,719
PASCAL VOC with XML Files\Cat\Annotations\46bb8eda-115.xml,46bb8eda-115.png,Cat,720,720,140,10,679,655
PASCAL VOC with XML Files\Cat\Annotations\4745fbec-r3.xml,4745fbec-r3.png,Cat,720,720,49,74,719,719
PASCAL VOC with XML Files\Cat\Annotations\48d9baf3-131.xml,48d9baf3-131.png,Cat,720,720,138,9,719,555
PASCAL VOC with XML Files\Cat\Annotations\4a179eac-258.xml,4a179eac-258.png,Cat,720,720,9,22,714,719
PASCAL VOC with XML Files\Cat\Annotations\4afcfdee-300.xml,4afcfdee-300.png,Cat,720,720,91,2,719,719
PASCAL VOC with XML Files\Cat\Annotations\4cfe9c5e-242.xml,4cfe9c5e-242.png,Cat,720,720,89,83,574,719
PASCAL VOC with XML Files\Cat\Annotations\4f6811cb-dhh.xml,4f6811cb-dhh.png,Cat,720,720,386,6,715,719
PASCAL VOC with XML Files\Cat\Annotations\528f47ca-47.xml,528f47ca-47.png,Cat,720,720,35,2,384,719
PASCAL VOC with XML Files\Cat\Annotations\5417116e-238.xml,5417116e-238.png,Cat,720,720,193,176,464,719
PASCAL VOC with XML Files\Cat\Annotations\5701efcb-218.xml,5701efcb-218.png,Cat,720,720,57,0,569,718
PASCAL VOC with XML Files\Cat\Annotations\59b18778-356.xml,59b18778-356.png,Cat,720,720,11,78,681,685
PASCAL VOC with XML Files\Cat\Annotations\59ccf700-44.xml,59ccf700-44.png,Cat,720,720,195,4,719,719
PASCAL VOC with XML Files\Cat\Annotations\5a3431b2-11.xml,5a3431b2-11.png,Cat,720,720,0,80,719,719
PASCAL VOC with XML Files\Cat\Annotations\5a6aa112-245.xml,5a6aa112-245.png,Cat,720,720,389,0,640,720
PASCAL VOC with XML Files\Cat\Annotations\5b513871-384.xml,5b513871-384.png,Cat,720,720,19,11,719,719
PASCAL VOC with XML Files\Cat\Annotations\5b7e05da-r2.xml,5b7e05da-r2.png,Cat,720,720,1,37,706,716
PASCAL VOC with XML Files\Cat\Annotations\5bab4463-375.xml,5bab4463-375.png,Cat,720,720,0,7,719,719
