File Path,filename,name,height,width,xmin,ymin,xmax,ymax
PASCAL VOC with XML Files\Dog\Annotations\00e2c3a5-310.xml,00e2c3a5-310.png,Dog,720,720,16,63,716,644
PASCAL VOC with XML Files\Dog\Annotations\011ca1b4-208.xml,011ca1b4-208.png,Dog,720,720,0,4,720,715
PASCAL VOC with XML Files\Dog\Annotations\0291bc8a-400.xml,0291bc8a-400.png,Dog,720,720,106,16,578,696
PASCAL VOC with XML Files\Dog\Annotations\03932703-267.xml,03932703-267.png,Dog,720,720,3,121,648,692
PASCAL VOC with XML Files\Dog\Annotations\0412c922-xcv.xml,0412c922-xcv.png,Dog,720,720,12,62,719,719
PASCAL VOC with XML Files\Dog\Annotations\052b854a-306.xml,052b854a-306.png,Dog,720,720,52,0,545,717
PASCAL VOC with XML Files\Dog\Annotations\084159de-317.xml,084159de-317.png,Dog,720,720,120,65,614,719
PASCAL VOC with XML Files\Dog\Annotations\085b99e2-303.xml,085b99e2-303.png,Dog,720,720,413,175,615,670
PASCAL VOC with XML Files\Dog\Annotations\0a63fab8-284.xml,0a63fab8-284.png,Dog,720,720,18,22,719,708
PASCAL VOC with XML Files\Dog\Annotations\0c9fe78f-ghjm.xml,0c9fe78f-ghjm.png,Dog,720,720,205,8,685,719
PASCAL VOC with XML Files\Dog\Annotations\103d0b9b-sdftjd.xml,103d0b9b-sdftjd.png,Dog,720,720,0,57,685,705
PASCAL VOC with XML Files\Dog\Annotations\115fa482-301.xml,115fa482-301.png,Dog,720,720,0,10,667,719
PASCAL VOC with XML Files\Dog\Annotations\118d4510-150.xml,118d4510-150.png,Dog,720,720,23,300,719,720
PASCAL VOC with XML Files\Dog\Annotations\11a66b7b-cb_n.xml,11a66b7b-cb_n.png,Dog,720,720,422,117,719,650
PASCAL VOC with XML Files\Dog\Annotations\1512258b-xfv.xml,1512258b-xfv.png,Dog,720,720,132,1,719,719
PASCAL VOC with XML Files\Dog\Annotations\16ab59bb-47.xml,16ab59bb-47.png,Dog,720,720,140,48,633,638
PASCAL VOC with XML Files\Dog\Annotations\181d2acf-50.xml,181d2acf-50.png,Dog,720,720,86,1,696,719
PASCAL VOC with XML Files\Dog\Annotations\18499ee9-114.xml,18499ee9-114.png,Dog,720,720,0,0,716,720
PASCAL VOC with XML Files\Dog\Annotations\18946381-397.xml,18946381-397.png,Dog,720,720,34,279,427,719
PASCAL VOC with XML Files\Dog\Annotations\19e5e19e-162.xml,19e5e19e-162.png,Dog,720,720,139,14,582,719
PASCAL VOC with XML Files\Dog\Annotations\1a29708c-99.xml,1a29708c-99.png,Dog,720,720,18,19,654,711
PASCAL VOC with XML Files\Dog\Annotations\1d2e5eab-391.xml,1d2e5eab-391.png,Dog,720,720,70,2,717,661
PASCAL VOC with XML Files\Dog\Annotations\1d9c85c4-231.xml,1d9c85c4-231.png,Dog,720,720,206,0,719,720
PASCAL VOC with XML Files\Dog\Annotations\1e9e6630-90.xml,1e9e6630-90.png,Dog,720,720,39,14,564,717
PASCAL VOC with XML Files\Dog\Annotations\1f6f2f19-34.xml,1f6f2f19-34.png,Dog,720,720,148,37,594,719
PASCAL VOC with XML Files\Dog\Annotations\1febfba6-72.xml,1febfba6-72.png,Dog,720,720,67,5,613,681
PASCAL VOC with XML Files\Dog\Annotations\217c020a-92.xml,217c020a-92.png,Dog,720,720,36,2,436,703
PASCAL VOC with XML Files\Dog\Annotations\217d0103-168.xml,217d0103-168.png,Dog,720,720,118,5,583,719
PASCAL VOC with XML Files\Dog\Annotations\217e1097-39.xml,217e1097-39.png,Dog,720,720,87,96,719,719
PASCAL VOC with XML Files\Dog\Annotations\23e3406b-153.xml,23e3406b-153.png,Dog,720,720,79,83,602,714
PASCAL VOC with XML Files\Dog\Annotations\243e772c-dxfvb.xml,243e772c-dxfvb.png,Dog,720,720,0,103,700,629
PASCAL VOC with XML Files\Dog\Annotations\2462dcd7-161.xml,2462dcd7-161.png,Dog,720,720,15,52,599,711
PASCAL VOC with XML Files\Dog\Annotations\264d463c-27.xml,264d463c-27.png,Dog,720,720,39,1,701,719
PASCAL VOC with XML Files\Dog\Annotations\27119452-147.xml,27119452-147.png,Dog,720,720,138,82,719,719
PASCAL VOC with XML Files\Dog\Annotations\284b2e2c-62.xml,284b2e2c-62.png,Dog,720,720,0,166,719,654
PASCAL VOC with XML Files\Dog\Annotations\2d7432c4-12.xml,2d7432c4-12.png,Dog,720,720,66,28,719,697
PASCAL VOC with XML Files\Dog\Annotations\2ddfbc0a-v.xml,2ddfbc0a-v.png,Dog,720,720,164,191,510,719
PASCAL VOC with XML Files\Dog\Annotations\2e26ed17-4.xml,2e26ed17-4.png,Dog,720,720,0,60,695,644
PASCAL VOC with XML Files\Dog\Annotations\2ef897e8-148.xml,2ef897e8-148.png,Dog,720,720,79,0,645,720
PASCAL VOC with XML Files\Dog\Annotations\2f4960d3-159.xml,2f4960d3-159.png,Dog,720,720,30,36,709,716
PASCAL VOC with XML Files\Dog\Annotations\2fc53fb5-133.xml,2fc53fb5-133.png,Dog,720,720,80,35,699,693
PASCAL VOC with XML Files\Dog\Annotations\32ae1c2d-3.xml,32ae1c2d-3.png,Dog,720,720,0,71,719,718
PASCAL VOC with XML Files\Dog\Annotations\32e2c9e9-fghjl.xml,32e2c9e9-fghjl.png,Dog,720,720,137,50,618,719
PASCAL VOC with XML Files\Dog\Annotations\34f53f4a-113.xml,34f53f4a-113.png,Dog,720,720,76,29,673,718
PASCAL VOC with XML Files\Dog\Annotations\37d1fda0-350.xml,37d1fda0-350.png,Dog,720,720,14,6,399,719
PASCAL VOC with XML Files\Dog\Annotations\397089f7-89.xml,397089f7-89.png,Dog,720,720,114,0,676,706
PASCAL VOC with XML Files\Dog\Annotations\3ba27c6c-343.xml,3ba27c6c-343.png,Dog,720,720,0,0,618,595
PASCAL VOC with XML Files\Dog\Annotations\3d43bf7c-41.xml,3d43bf7c-41.png,Dog,720,720,66,58,719,679
PASCAL VOC with XML Files\Dog\Annotations\3fdb2bb2-370.xml,3fdb2bb2-370.png,Dog,720,720,36,17,662,683
PASCAL VOC with XML Files\Dog\Annotations\4162d026-40.xml,4162d026-40.png,Dog,720,720,96,84,645,719
PASCAL VOC with XML Files\Dog\Annotations\4186b83b-79.xml,4186b83b-79.png,Dog,720,720,0,94,493,719
PASCAL VOC with XML Files\Dog\Annotations\433f773e-240.xml,433f773e-240.png,Dog,720,720,7,6,716,624
PASCAL VOC with XML Files\Dog\Annotations\4350036d-258.xml,4350036d-258.png,Dog,720,720,319,165,686,633
PASCAL VOC with XML Files\Dog\Annotations\454c6eed-245.xml,454c6eed-245.png,Dog,720,720,168,70,667,675
PASCAL VOC with XML Files\Dog\Annotations\45ff6ee6-sfgjd.xml,45ff6ee6-sfgjd.png,Dog,720,720,0,3,714,657
PASCAL VOC with XML Files\Dog\Annotations\480e4395-127.xml,480e4395-127.png,Dog,720,720,0,0,667,712
PASCAL VOC with XML Files\Dog\Annotations\4a575026-262.xml,4a575026-262.png,Dog,720,720,92,156,599,658
PASCAL VOC with XML Files\Dog\Annotations\4be3d790-158.xml,4be3d790-158.png,Dog,720,720,7,0,663,718
PASCAL VOC with XML Files\Dog\Annotations\4c0182b3-95.xml,4c0182b3-95.png,Dog,720,720,18,117,709,641
PASCAL VOC with XML Files\Dog\Annotations\4eb30df2-17.xml,4eb30df2-17.png,Dog,720,720,24,1,614,717
PASCAL VOC with XML Files\Dog\Annotations\4f46b42f-zdh.xml,4f46b42f-zdh.png,Dog,720,720,29,67,617,687
PASCAL VOC with XML Files\Dog\Annotations\4f4ed2df-23.xml,4f4ed2df-23.png,Dog,720,720,18,5,680,697
PASCAL VOC with XML Files\Dog\Annotations\524c3249-52.xml,524c3249-52.png,Dog,720,720,228,99,584,719
PASCAL VOC with XML Files\Dog\Annotations\5313edf4-139.xml,5313edf4-139.png,Dog,720,720,3,41,704,712
PASCAL VOC with XML Files\Dog\Annotations\53211788-292.xml,53211788-292.png,Dog,720,720,148,0,480,326
PASCAL VOC with XML Files\Dog\Annotations\5359d663-152.xml,5359d663-152.png,Dog,720,720,40,0,718,429
