File Path,filename,name,height,width,xmin,ymin,xmax,ymax
PASCAL VOC with XML Files\Goat\Annotations\00abacd9-433.xml,00abacd9-433.png,Goat,720,720,0,11,716,697
PASCAL VOC with XML Files\Goat\Annotations\016d7985-577.xml,016d7985-577.png,Goat,720,720,0,0,719,720
PASCAL VOC with XML Files\Goat\Annotations\023f0863-425.xml,023f0863-425.png,Goat,720,720,0,46,618,719
PASCAL VOC with XML Files\Goat\Annotations\03980cca-752.xml,03980cca-752.png,Goat,720,720,0,146,494,717
PASCAL VOC with XML Files\Goat\Annotations\0492cc5b-422ya.xml,0492cc5b-422ya.png,Goat,720,720,151,46,517,618
PASCAL VOC with XML Files\Goat\Annotations\05d36c6d-419.xml,05d36c6d-419.png,Goat,720,720,19,18,607,719
PASCAL VOC with XML Files\Goat\Annotations\0683e063-638asdfg.xml,0683e063-638asdfg.png,Goat,720,720,118,2,612,719
PASCAL VOC with XML Files\Goat\Annotations\076979e5-574.xml,076979e5-574.png,Goat,720,720,31,37,706,678
PASCAL VOC with XML Files\Goat\Annotations\095c2ece-73.xml,095c2ece-73.png,Goat,720,720,30,50,644,704
PASCAL VOC with XML Files\Goat\Annotations\098730fb-672.xml,098730fb-672.png,Goat,720,720,7,10,711,715
PASCAL VOC with XML Files\Goat\Annotations\09f6aa31-742.xml,09f6aa31-742.png,Goat,720,720,1,0,719,690
PASCAL VOC with XML Files\Goat\Annotations\0b5e8384-794.xml,0b5e8384-794.png,Goat,720,720,43,49,709,719
PASCAL VOC with XML Files\Goat\Annotations\0e04f1ae-550.xml,0e04f1ae-550.png,Goat,720,720,123,32,719,719
PASCAL VOC with XML Files\Goat\Annotations\0e6f02f5-621.xml,0e6f02f5-621.png,Goat,720,720,1,91,719,582
PASCAL VOC with XML Files\Goat\Annotations\0e8c3e7d-793fghn.xml,0e8c3e7d-793fghn.png,Goat,720,720,101,74,600,717
PASCAL VOC with XML Files\Goat\Annotations\10c76ec5-455.xml,10c76ec5-455.png,Goat,720,720,331,187,616,536
PASCAL VOC with XML Files\Goat\Annotations\11eb945e-409.xml,11eb945e-409.png,Goat,720,720,7,11,719,719
PASCAL VOC with XML Files\Goat\Annotations\13953472-654.xml,13953472-654.png,Goat,720,720,0,64,719,619
PASCAL VOC with XML Files\Goat\Annotations\14903956-522.xml,14903956-522.png,Goat,720,720,0,0,718,717
PASCAL VOC with XML Files\Goat\Annotations\14a26cdb-423.xml,14a26cdb-423.png,Goat,720,720,32,44,612,664
PASCAL VOC with XML Files\Goat\Annotations\15a3db31-579.xml,15a3db31-579.png,Goat,720,720,1,39,487,719
PASCAL VOC with XML Files\Goat\Annotations\16036cdf-668.xml,16036cdf-668.png,Goat,720,720,63,54,706,719
PASCAL VOC with XML Files\Goat\Annotations\1620a098-546.xml,1620a098-546.png,Goat,720,720,50,1,652,594
PASCAL VOC with XML Files\Goat\Annotations\16b5bc4f-783.xml,16b5bc4f-783.png,Goat,720,720,16,3,699,713
PASCAL VOC with XML Files\Goat\Annotations\1705ed30-718sgaf.xml,1705ed30-718sgaf.png,Goat,720,720,1,44,599,692
PASCAL VOC with XML Files\Goat\Annotations\181b5822-6.xml,181b5822-6.png,Goat,720,720,27,20,602,706
PASCAL VOC with XML Files\Goat\Annotations\1894164b-417.xml,1894164b-417.png,Goat,720,720,32,35,676,719
PASCAL VOC with XML Files\Goat\Annotations\18ea4790-674.xml,18ea4790-674.png,Goat,720,720,2,1,526,719
PASCAL VOC with XML Files\Goat\Annotations\19bef70d-632.xml,19bef70d-632.png,Goat,720,720,163,43,704,602
PASCAL VOC with XML Files\Goat\Annotations\1b448ec2-573ihi.xml,1b448ec2-573ihi.png,Goat,720,720,146,114,474,633
PASCAL VOC with XML Files\Goat\Annotations\1c078af3-716.xml,1c078af3-716.png,Goat,720,720,6,49,718,673
PASCAL VOC with XML Files\Goat\Annotations\1df8353c-795.xml,1df8353c-795.png,Goat,720,720,0,27,700,717
PASCAL VOC with XML Files\Goat\Annotations\1e86614d-69.xml,1e86614d-69.png,Goat,720,720,26,36,669,701
PASCAL VOC with XML Files\Goat\Annotations\1f5bbc3a-688dh.xml,1f5bbc3a-688dh.png,Goat,720,720,0,22,720,719
PASCAL VOC with XML Files\Goat\Annotations\20c93caf-582.xml,20c93caf-582.png,Goat,720,720,1,0,706,710
PASCAL VOC with XML Files\Goat\Annotations\222d96f8-773.xml,222d96f8-773.png,Goat,720,720,36,13,663,719
PASCAL VOC with XML Files\Goat\Annotations\23500579-758.xml,23500579-758.png,Goat,720,720,3,36,696,697
PASCAL VOC with XML Files\Goat\Annotations\23d47d95-539.xml,23d47d95-539.png,Goat,720,720,196,84,719,719
PASCAL VOC with XML Files\Goat\Annotations\2453cec8-650.xml,2453cec8-650.png,Goat,720,720,134,90,604,529
PASCAL VOC with XML Files\Goat\Annotations\26616f29-657.xml,26616f29-657.png,Goat,720,720,1,0,719,720
PASCAL VOC with XML Files\Goat\Annotations\26de4374-12.xml,26de4374-12.png,Goat,720,720,54,66,657,656
PASCAL VOC with XML Files\Goat\Annotations\27212ab1-618.xml,27212ab1-618.png,Goat,720,720,9,41,704,667
PASCAL VOC with XML Files\Goat\Annotations\285185c6-775.xml,285185c6-775.png,Goat,720,720,220,0,719,720
PASCAL VOC with XML Files\Goat\Annotations\2863d4b3-792.xml,2863d4b3-792.png,Goat,720,720,62,75,719,618
PASCAL VOC with XML Files\Goat\Annotations\2a7ec3fc-19.xml,2a7ec3fc-19.png,Goat,720,720,31,0,684,695
PASCAL VOC with XML Files\Goat\Annotations\2c6cc290-496.xml,2c6cc290-496.png,Goat,720,720,88,70,641,719
PASCAL VOC with XML Files\Goat\Annotations\2e7f43a4-441.xml,2e7f43a4-441.png,Goat,720,720,5,53,706,663
PASCAL VOC with XML Files\Goat\Annotations\32a5599b-793.xml,32a5599b-793.png,Goat,720,720,36,22,696,661
PASCAL VOC with XML Files\Goat\Annotations\32d7a582-625.xml,32d7a582-625.png,Goat,720,720,86,19,719,719
PASCAL VOC with XML Files\Goat\Annotations\33f81076-765.xml,33f81076-765.png,Goat,720,720,6,0,719,720
PASCAL VOC with XML Files\Goat\Annotations\37dd1dda-5.xml,37dd1dda-5.png,Goat,720,720,106,22,669,701
PASCAL VOC with XML Files\Goat\Annotations\37e47bae-477.xml,37e47bae-477.png,Goat,720,720,5,36,717,682
PASCAL VOC with XML Files\Goat\Annotations\38f58708-710.xml,38f58708-710.png,Goat,720,720,32,62,716,678
PASCAL VOC with XML Files\Goat\Annotations\3a636830-590.xml,3a636830-590.png,Goat,720,720,80,24,620,638
PASCAL VOC with XML Files\Goat\Annotations\3ad39ee0-418.xml,3ad39ee0-418.png,Goat,720,720,53,31,647,719
PASCAL VOC with XML Files\Goat\Annotations\3c36ce08-671.xml,3c36ce08-671.png,Goat,720,720,168,125,637,651
PASCAL VOC with XML Files\Goat\Annotations\3eca91ca-750.xml,3eca91ca-750.png,Goat,720,720,393,93,618,655
PASCAL VOC with XML Files\Goat\Annotations\404e6155-616.xml,404e6155-616.png,Goat,720,720,75,3,668,719
PASCAL VOC with XML Files\Goat\Annotations\417a6390-645.xml,417a6390-645.png,Goat,720,720,36,127,709,719
PASCAL VOC with XML Files\Goat\Annotations\43daa0a3-585.xml,43daa0a3-585.png,Goat,720,720,19,26,695,709
PASCAL VOC with XML Files\Goat\Annotations\4493c451-566.xml,4493c451-566.png,Goat,720,720,16,30,450,363
PASCAL VOC with XML Files\Goat\Annotations\49d13a5c-67.xml,49d13a5c-67.png,Goat,720,720,164,54,538,676
PASCAL VOC with XML Files\Goat\Annotations\49db7e16-762.xml,49db7e16-762.png,Goat,720,720,6,0,719,712
PASCAL VOC with XML Files\Goat\Annotations\4a829bac-567.xml,4a829bac-567.png,Goat,720,720,346,60,719,718
