File Path,filename,name,height,width,xmin,ymin,xmax,ymax
PASCAL VOC with XML Files\Sheep\Annotations\06918d4c-17.xml,06918d4c-17.png,Sheep,720,720,106,253,343,699
PASCAL VOC with XML Files\Sheep\Annotations\0d54d044-0524260f5fc94141.xml,0d54d044-0524260f5fc94141.png,Sheep,720,720,41,4,698,719
PASCAL VOC with XML Files\Sheep\Annotations\0f569d6d-251.xml,0f569d6d-251.png,Sheep,720,720,0,4,661,698
PASCAL VOC with XML Files\Sheep\Annotations\101404a1-188.xml,101404a1-188.png,Sheep,720,720,13,86,680,705
PASCAL VOC with XML Files\Sheep\Annotations\105962fe-04cc2b3ca574f369.xml,105962fe-04cc2b3ca574f369.png,Sheep,720,720,180,108,523,622
PASCAL VOC with XML Files\Sheep\Annotations\1105aa57-94.xml,1105aa57-94.png,Sheep,720,720,161,90,523,683
PASCAL VOC with XML Files\Sheep\Annotations\1437118e-8fe12c192eae059e.xml,1437118e-8fe12c192eae059e.png,Sheep,720,720,102,0,719,720
PASCAL VOC with XML Files\Sheep\Annotations\161ad6cf-376.xml,161ad6cf-376.png,Sheep,720,720,319,310,497,689
PASCAL VOC with XML Files\Sheep\Annotations\161b3e30-396.xml,161b3e30-396.png,Sheep,720,720,0,72,719,719
PASCAL VOC with XML Files\Sheep\Annotations\16d5f1ee-239.xml,16d5f1ee-239.png,Sheep,720,720,177,120,486,703
PASCAL VOC with XML Files\Sheep\Annotations\18bce968-6.xml,18bce968-6.png,Sheep,720,720,0,156,301,719
PASCAL VOC with XML Files\Sheep\Annotations\18f877b9-86.xml,18f877b9-86.png,Sheep,720,720,49,193,305,719
PASCAL VOC with XML Files\Sheep\Annotations\19ca3937-12.xml,19ca3937-12.png,Sheep,720,720,154,0,664,720
PASCAL VOC with XML Files\Sheep\Annotations\19e0f542-394.xml,19e0f542-394.png,Sheep,720,720,88,137,610,621
PASCAL VOC with XML Files\Sheep\Annotations\1ad7e2bc-161.xml,1ad7e2bc-161.png,Sheep,720,720,76,199,491,582
PASCAL VOC with XML Files\Sheep\Annotations\1d7e5060-70.xml,1d7e5060-70.png,Sheep,720,720,68,28,706,719
PASCAL VOC with XML Files\Sheep\Annotations\1fa98115-7f77013c0fd0f881.xml,1fa98115-7f77013c0fd0f881.png,Sheep,720,720,10,2,719,719
PASCAL VOC with XML Files\Sheep\Annotations\1fdd10da-292.xml,1fdd10da-292.png,Sheep,720,720,56,115,638,661
PASCAL VOC with XML Files\Sheep\Annotations\2052d953-629ba91a5b8f130f.xml,2052d953-629ba91a5b8f130f.png,Sheep,720,720,38,88,719,719
PASCAL VOC with XML Files\Sheep\Annotations\2098def3-37648d8aa48b3dc5.xml,2098def3-37648d8aa48b3dc5.png,Sheep,720,720,12,8,702,698
PASCAL VOC with XML Files\Sheep\Annotations\2279b19f-0b7cf001d8ae0a69.xml,2279b19f-0b7cf001d8ae0a69.png,Sheep,720,720,0,0,719,720
PASCAL VOC with XML Files\Sheep\Annotations\2508ed0f-6ba7518939023e44.xml,2508ed0f-6ba7518939023e44.png,Sheep,720,720,162,241,519,719
PASCAL VOC with XML Files\Sheep\Annotations\27459109-24.xml,27459109-24.png,Sheep,720,720,8,22,711,719
